Species,Number,Av. leaf length,Av. leaf width,Av. leaf thickness,Leaf surface area per leaf,Leaf fresh weight,Leaf dry weight,Specific leaf area,Leaf water content,,,
,,cm,cm,mm,cm2,g,g,m2 g DW-1,%,,,
Pyracantha angustifolia,5,4.93,0.88,0.327,3.189,0.07958,0.03890,0.00820,51.1,,,
Pyrostegia venusta,1,4.80,2.11,0.246,5.917,0.16421,0.08221,0.00720,49.9,,,
Pyrostegia venusta,2,5.05,2.55,0.288,7.900,0.23655,0.12885,0.00613,45.5,,,
Pyrostegia venusta,3,5.24,2.14,0.265,6.748,0.19570,0.10675,0.00632,45.5,,,
Pyrostegia venusta,4,5.16,2.48,0.261,8.076,0.24469,0.13433,0.00601,45.1,,,
Pyrostegia venusta,5,4.86,2.21,0.245,6.308,0.18199,0.10080,0.00626,44.6,,,
Quercus palustris,1,9.71,8.20,0.132,32.160,0.43400,0.21257,0.01513,51.0,,,
Quercus palustris,2,10.33,7.90,0.195,27.866,0.56041,0.27895,0.00999,50.2,,,
Quercus palustris,3,12.48,10.10,0.172,47.494,0.74158,0.30417,0.01561,59.0,,,
Quercus palustris,4,11.55,9.77,0.195,43.403,0.69294,0.32047,0.01354,53.8,,,
Quercus palustris,5,12.53,10.46,0.122,52.704,0.60237,0.26036,0.02024,56.8,,,
Searsia lancea,1,9.02,3.76,0.153,18.050,0.41000,0.15653,0.01153,61.8,,,
Searsia lancea,2,9.70,4.62,0.152,23.784,0.49503,0.18616,0.01278,62.4,,,
Searsia lancea,3,10.31,4.15,0.164,25.163,0.60370,0.25301,0.00995,58.1,,,
Searsia lancea,4,10.92,4.65,0.189,29.230,0.75264,0.31187,0.00937,58.6,,,
Searsia lancea,5,9.98,4.48,0.240,24.301,0.78192,0.36771,0.00661,53.0,,,
Sideroxylon inerme,1,10.25,2.48,0.345,15.241,0.67425,0.14690,0.01038,78.2,,,
Sideroxylon inerme,2,11.41,2.69,0.287,18.108,0.68692,0.14241,0.01272,79.3,,,
Sideroxylon inerme,3,8.58,2.87,0.653,16.084,1.22444,0.22730,0.00708,81.4,,,
Syzygium cordatum,1,13.13,6.40,0.228,62.939,1.97097,0.70654,0.00891,64.2,,,
Syzygium cordatum,2,9.74,4.61,0.419,32.489,1.62834,0.68284,0.00476,58.1,,,
Syzygium cordatum,3,8.21,4.08,0.418,23.652,1.22872,0.55844,0.00424,54.6,,,
Syzygium cordatum,4,7.89,4.32,0.504,25.071,1.49208,0.65032,0.00386,56.4,,,
Syzygium cordatum,5,7.27,3.92,0.466,20.909,1.12017,0.49457,0.00423,55.8,,,
Tarchonanthus comphoratus,1,7.01,2.53,0.426,9.984,0.41355,0.19070,0.00524,53.9,,,
Tarchonanthus comphoratus,2,6.19,2.27,0.389,8.339,0.31034,0.12621,0.00661,59.3,,,
Tarchonanthus comphoratus,3,6.39,2.01,0.430,8.099,0.31937,0.14003,0.00578,56.2,,,
Tarchonanthus comphoratus,4,6.42,2.14,0.417,8.780,0.33864,0.16708,0.00525,50.7,,,
Tarchonanthus comphoratus,5,6.38,2.17,0.445,9.085,0.37360,0.16390,0.00554,56.1,,,
Tipuana tipu,1,4.07,1.88,0.204,6.242,0.13447,0.05722,0.01091,57.4,,,
Tipuana tipu,2,3.29,1.50,0.217,3.624,0.09113,0.04169,0.00869,54.3,,,
Tipuana tipu,3,5.87,2.08,0.163,9.481,0.15375,0.06283,0.01509,59.1,,,
Tipuana tipu,4,4.30,2.01,0.201,7.113,0.14863,0.06189,0.01149,58.4,,,
Tipuana tipu,5,4.08,2.07,0.215,6.843,0.15242,0.06490,0.01054,57.4,,,
Virgilia variegata,1,10.40,5.00,0.261,21.443,0.55042,0.19213,0.01116,65.1,,,
Virgilia variegata,2,9.28,4.21,0.211,17.226,0.40306,0.12691,0.01357,68.5,,,
Virgilia variegata,3,11.40,5.50,0.243,24.673,0.66135,0.22010,0.01121,66.7,,,
Virgilia variegata,4,7.79,3.71,0.184,14.926,0.35535,0.11882,0.01256,66.6,,,
Virgilia variegata,5,9.62,4.43,0.255,17.606,0.36037,0.12824,0.01373,64.4,,,
